date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:20	1515/1515	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2000:37:43%20GMT	http://preview.foxythemes.net/robots.txt		(from )
14:34:20	2809/2809	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Mar%202017%2021:10:55%20GMT	http://preview.foxythemes.net/?project=Beagle	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/indexb49b.html	(from )
14:34:21	1843/1843	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2016:56:54%20GMT	http://preview.foxythemes.net/assets/img/foxy_fav.png	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/img/foxy_fav.png	(from http://preview.foxythemes.net/?project=Beagle)
14:34:21	3364/3364	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Oct%202015%2016:57:10%20GMT	http://preview.foxythemes.net/assets/css/style.css	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/css/style.css	(from http://preview.foxythemes.net/?project=Beagle)
14:34:22	1019/1019	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Oct%202015%2016:57:04%20GMT	http://preview.foxythemes.net/assets/icons/style.css	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/icons/style.css	(from http://preview.foxythemes.net/?project=Beagle)
14:34:23	20540/20540	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2012%20Sep%202017%2009:04:25%20GMT	https://use.typekit.net/hud2mnz.js	E:/admin%20panel/2017/ks/demo/use.typekit.net/hud2mnz.js	(from http://preview.foxythemes.net/?project=Beagle)
14:34:23	11576/11576	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Oct%202015%2016:56:57%20GMT	http://preview.foxythemes.net/assets/img/logo.png	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/img/logo.png	(from http://preview.foxythemes.net/?project=Beagle)
14:34:24	2077/2077	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2013%20Mar%202017%2021:09:48%20GMT	http://preview.foxythemes.net/assets/js/projects.js?v=1.0.3	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/js/projects2c70.js	(from http://preview.foxythemes.net/?project=Beagle)
14:34:25	533/533	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Oct%202015%2016:57:20%20GMT	http://preview.foxythemes.net/assets/js/frameResizer.js	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/js/frameResizer.js	(from http://preview.foxythemes.net/?project=Beagle)
14:34:25	95786/95786	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-1762a%22	http://code.jquery.com/jquery-latest.min.js	E:/admin%20panel/2017/ks/demo/code.jquery.com/jquery-latest.min.js	(from http://preview.foxythemes.net/?project=Beagle)
14:34:26	5377/5377	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Oct%202015%2016:57:20%20GMT	http://preview.foxythemes.net/assets/js/projectManager.js	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/js/projectManager.js	(from http://preview.foxythemes.net/?project=Beagle)
14:34:26	2032/2032	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2023%20Oct%202015%2016:57:08%20GMT	http://preview.foxythemes.net/assets/icons/fonts/icomoon.eot?7i98vz	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/icons/fonts/icomoonb8fc.eot	(from http://preview.foxythemes.net/assets/icons/style.css)
14:34:26	1868/1868	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2023%20Oct%202015%2016:57:08%20GMT	http://preview.foxythemes.net/assets/icons/fonts/icomoon.ttf?7i98vz	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/icons/fonts/icomoonb8fc.ttf	(from http://preview.foxythemes.net/assets/icons/style.css)
14:34:27	1944/1944	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2023%20Oct%202015%2016:57:08%20GMT	http://preview.foxythemes.net/assets/icons/fonts/icomoon.woff?7i98vz	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/icons/fonts/icomoonb8fc.woff	(from http://preview.foxythemes.net/assets/icons/style.css)
14:34:27	3330/3330	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Oct%202015%2016:57:08%20GMT	http://preview.foxythemes.net/assets/icons/fonts/icomoon.svg?7i98vz	E:/admin%20panel/2017/ks/demo/preview.foxythemes.net/assets/icons/fonts/icomoonb8fc.svg	(from http://preview.foxythemes.net/assets/icons/style.css)
